game_id,season,week,gameday,weekday,gametime,away_team,home_team,old_game_id,
2022_1_BUF_LAR,2022,1,09/08/22,Thursday,20:20,BUF,LAR,2022090800,
2022_1_BAL_NYJ,2022,1,09/11/22,Sunday,13:00,BAL,NYJ,2022091101,
2022_1_CLE_CAR,2022,1,09/11/22,Sunday,13:00,CLE,CAR,2022091102,
2022_1_IND_HOU,2022,1,09/11/22,Sunday,13:00,IND,HOU,2022091103,
2022_1_JAX_WAS,2022,1,09/11/22,Sunday,13:00,JAX,WAS,2022091104,
2022_1_NE_MIA,2022,1,09/11/22,Sunday,13:00,NE,MIA,2022091105,
2022_1_NO_ATL,2022,1,09/11/22,Sunday,13:00,NO,ATL,2022091106,
2022_1_PHI_DET,2022,1,09/11/22,Sunday,13:00,PHI,DET,2022091107,
2022_1_PIT_CIN,2022,1,09/11/22,Sunday,13:00,PIT,CIN,2022091108,
2022_1_SF_CHI,2022,1,09/11/22,Sunday,13:00,SF,CHI,2022091109,
2022_1_GB_MIN,2022,1,09/11/22,Sunday,16:25,GB,MIN,2022091110,
2022_1_KC_ARI,2022,1,09/11/22,Sunday,16:25,KC,ARI,2022091111,
2022_1_LV_LAC,2022,1,09/11/22,Sunday,16:25,LV,LAC,2022091112,
2022_1_NYG_TEN,2022,1,09/11/22,Sunday,16:25,NYG,TEN,2022091113,
2022_1_TB_DAL,2022,1,09/11/22,Sunday,20:20,TB,DAL,2022091114,
2022_1_DEN_SEA,2022,1,09/12/22,Monday,20:15,DEN,SEA,2022091215,
2022_2_LAC_KC,2022,2,09/15/22,Thursday,20:15,LAC,KC,2022091500,
2022_2_CAR_NYG,2022,2,09/18/22,Sunday,13:00,CAR,NYG,2022091801,
2022_2_IND_JAX,2022,2,09/18/22,Sunday,13:00,IND,JAX,2022091802,
2022_2_MIA_BAL,2022,2,09/18/22,Sunday,13:00,MIA,BAL,2022091803,
2022_2_NE_PIT,2022,2,09/18/22,Sunday,13:00,NE,PIT,2022091804,
2022_2_NYJ_CLE,2022,2,09/18/22,Sunday,13:00,NYJ,CLE,2022091805,
2022_2_TB_NO,2022,2,09/18/22,Sunday,13:00,TB,NO,2022091806,
2022_2_WAS_DET,2022,2,09/18/22,Sunday,13:00,WAS,DET,2022091807,
2022_2_ATL_LAR,2022,2,09/18/22,Sunday,16:05,ATL,LAR,2022091808,
2022_2_SEA_SF,2022,2,09/18/22,Sunday,16:05,SEA,SF,2022091809,
2022_2_ARI_LV,2022,2,09/18/22,Sunday,16:25,ARI,LV,2022091810,
2022_2_CIN_DAL,2022,2,09/18/22,Sunday,16:25,CIN,DAL,2022091811,
2022_2_HOU_DEN,2022,2,09/18/22,Sunday,16:25,HOU,DEN,2022091812,
2022_2_CHI_GB,2022,2,09/18/22,Sunday,20:20,CHI,GB,2022091813,
2022_2_TEN_BUF,2022,2,09/19/22,Monday,19:15,TEN,BUF,2022091914,
2022_2_MIN_PHI,2022,2,09/19/22,Monday,20:30,MIN,PHI,2022091915,
2022_3_PIT_CLE,2022,3,09/22/22,Thursday,20:15,PIT,CLE,2022092200,
2022_3_BAL_NE,2022,3,09/25/22,Sunday,13:00,BAL,NE,2022092501,
2022_3_BUF_MIA,2022,3,09/25/22,Sunday,13:00,BUF,MIA,2022092502,
2022_3_CIN_NYJ,2022,3,09/25/22,Sunday,13:00,CIN,NYJ,2022092503,
2022_3_DET_MIN,2022,3,09/25/22,Sunday,13:00,DET,MIN,2022092504,
2022_3_HOU_CHI,2022,3,09/25/22,Sunday,13:00,HOU,CHI,2022092505,
2022_3_KC_IND,2022,3,09/25/22,Sunday,13:00,KC,IND,2022092506,
2022_3_LV_TEN,2022,3,09/25/22,Sunday,13:00,LV,TEN,2022092507,
2022_3_NO_CAR,2022,3,09/25/22,Sunday,13:00,NO,CAR,2022092508,
2022_3_PHI_WAS,2022,3,09/25/22,Sunday,13:00,PHI,WAS,2022092509,
2022_3_JAX_LAC,2022,3,09/25/22,Sunday,16:05,JAX,LAC,2022092510,
2022_3_ATL_SEA,2022,3,09/25/22,Sunday,16:25,ATL,SEA,2022092511,
2022_3_GB_TB,2022,3,09/25/22,Sunday,16:25,GB,TB,2022092512,
2022_3_LAR_ARI,2022,3,09/25/22,Sunday,16:25,LAR,ARI,2022092513,
2022_3_SF_DEN,2022,3,09/25/22,Sunday,20:20,SF,DEN,2022092514,
2022_3_DAL_NYG,2022,3,09/26/22,Monday,20:15,DAL,NYG,2022092615,
2022_4_MIA_CIN,2022,4,09/29/22,Thursday,20:15,MIA,CIN,2022092900,
2022_4_MIN_NO,2022,4,10/02/22,Sunday,09:30,MIN,NO,2022100201,
2022_4_BUF_BAL,2022,4,10/02/22,Sunday,13:00,BUF,BAL,2022100202,
2022_4_CHI_NYG,2022,4,10/02/22,Sunday,13:00,CHI,NYG,2022100203,
2022_4_CLE_ATL,2022,4,10/02/22,Sunday,13:00,CLE,ATL,2022100204,
2022_4_JAX_PHI,2022,4,10/02/22,Sunday,13:00,JAX,PHI,2022100205,
2022_4_LAC_HOU,2022,4,10/02/22,Sunday,13:00,LAC,HOU,2022100206,
2022_4_NYJ_PIT,2022,4,10/02/22,Sunday,13:00,NYJ,PIT,2022100207,
