game_id,season,game_type,week,gameday,weekday,gametime,away_team,home_team,old_game_id,
2024_1_BAL_KC,2024,REG,1,09/05/24,Thursday,20:20,BAL,KC,2024090500,
2024_1_GB_PHI,2024,REG,1,09/06/24,Friday,20:15,GB,PHI,2024090601,
2024_1_ARI_BUF,2024,REG,1,09/08/24,Sunday,13:00,ARI,BUF,2024090802,
2024_1_CAR_NO,2024,REG,1,09/08/24,Sunday,13:00,CAR,NO,2024090803,
2024_1_HOU_IND,2024,REG,1,09/08/24,Sunday,13:00,HOU,IND,2024090804,
2024_1_JAX_MIA,2024,REG,1,09/08/24,Sunday,13:00,JAX,MIA,2024090805,
2024_1_MIN_NYG,2024,REG,1,09/08/24,Sunday,13:00,MIN,NYG,2024090806,
2024_1_NE_CIN,2024,REG,1,09/08/24,Sunday,13:00,NE,CIN,2024090807,
2024_1_PIT_ATL,2024,REG,1,09/08/24,Sunday,13:00,PIT,ATL,2024090808,
2024_1_TEN_CHI,2024,REG,1,09/08/24,Sunday,13:00,TEN,CHI,2024090809,
2024_1_DEN_SEA,2024,REG,1,09/08/24,Sunday,16:05,DEN,SEA,2024090810,
2024_1_LV_LAC,2024,REG,1,09/08/24,Sunday,16:05,LV,LAC,2024090811,
2024_1_DAL_CLE,2024,REG,1,09/08/24,Sunday,16:25,DAL,CLE,2024090812,
2024_1_WAS_TB,2024,REG,1,09/08/24,Sunday,16:25,WAS,TB,2024090813,
2024_1_LAR_DET,2024,REG,1,09/08/24,Sunday,20:20,LAR,DET,2024090814,
2024_1_NYJ_SF,2024,REG,1,09/09/24,Monday,20:15,NYJ,SF,2024090915,
2024_2_BUF_MIA,2024,REG,2,09/12/24,Thursday,20:15,BUF,MIA,2024091200,
2024_2_CLE_JAX,2024,REG,2,09/15/24,Sunday,13:00,CLE,JAX,2024091501,
2024_2_IND_GB,2024,REG,2,09/15/24,Sunday,13:00,IND,GB,2024091502,
2024_2_LV_BAL,2024,REG,2,09/15/24,Sunday,13:00,LV,BAL,2024091503,
2024_2_LAC_CAR,2024,REG,2,09/15/24,Sunday,13:00,LAC,CAR,2024091504,
2024_2_NO_DAL,2024,REG,2,09/15/24,Sunday,13:00,NO,DAL,2024091505,
2024_2_NYG_WAS,2024,REG,2,09/15/24,Sunday,13:00,NYG,WAS,2024091506,
2024_2_NYJ_TEN,2024,REG,2,09/15/24,Sunday,13:00,NYJ,TEN,2024091507,
2024_2_SF_MIN,2024,REG,2,09/15/24,Sunday,13:00,SF,MIN,2024091508,
2024_2_SEA_NE,2024,REG,2,09/15/24,Sunday,13:00,SEA,NE,2024091509,
2024_2_TB_DET,2024,REG,2,09/15/24,Sunday,13:00,TB,DET,2024091510,
2024_2_LAR_ARI,2024,REG,2,09/15/24,Sunday,16:05,LAR,ARI,2024091511,
2024_2_CIN_KC,2024,REG,2,09/15/24,Sunday,16:25,CIN,KC,2024091512,
2024_2_PIT_DEN,2024,REG,2,09/15/24,Sunday,16:25,PIT,DEN,2024091513,
2024_2_CHI_HOU,2024,REG,2,09/15/24,Sunday,20:20,CHI,HOU,2024091514,
2024_2_ATL_PHI,2024,REG,2,09/16/24,Monday,20:15,ATL,PHI,2024091615,
2024_3_NE_NYJ,2024,REG,3,09/19/24,Thursday,20:15,NE,NYJ,2024091900,
2024_3_CHI_IND,2024,REG,3,09/22/24,Sunday,13:00,CHI,IND,2024092201,
2024_3_DEN_TB,2024,REG,3,09/22/24,Sunday,13:00,DEN,TB,2024092202,
2024_3_GB_TEN,2024,REG,3,09/22/24,Sunday,13:00,GB,TEN,2024092203,
2024_3_HOU_MIN,2024,REG,3,09/22/24,Sunday,13:00,HOU,MIN,2024092204,
2024_3_LAC_PIT,2024,REG,3,09/22/24,Sunday,13:00,LAC,PIT,2024092205,
2024_3_NYG_CLE,2024,REG,3,09/22/24,Sunday,13:00,NYG,CLE,2024092206,
2024_3_PHI_NO,2024,REG,3,09/22/24,Sunday,13:00,PHI,NO,2024092207,
2024_3_CAR_LV,2024,REG,3,09/22/24,Sunday,16:05,CAR,LV,2024092208,
2024_3_MIA_SEA,2024,REG,3,09/22/24,Sunday,16:05,MIA,SEA,2024092209,
2024_3_BAL_DAL,2024,REG,3,09/22/24,Sunday,16:25,BAL,DAL,2024092210,
2024_3_DET_ARI,2024,REG,3,09/22/24,Sunday,16:25,DET,ARI,2024092211,
